Page,URL,Rect,Context
2,https://radiosanmartin.pe/2025/03/12/a-enero-de-este-ano-92-colegios-de-arequipa-tenian-deudas-por-el-servicio-de-agua-potable/,"(415.2681579589844, 333.0031433105469, 458.8563232421875, 342.8258056640625)","bicados en el ámbito de la elación, San Martin, Arequi mica y Noticias, Polémica y"
2,https://www.facebook.com/arequipametropolitana/posts/pfbid033TAqbsFJEUwf7GoAkRFLrpjk9zjh3nAccT2m8WYQc9nR7NqytKyXUqmFeu9CBL9yl,"(463.7676696777344, 333.0031433105469, 499.98876953125, 342.8258056640625)","el ámbito de las 50 empre Martin, Arequipa as, Polémica y Noticias,"
2,https://www.facebook.com/arequipametropolitana/posts/pfbid033TAqbsFJEUwf7GoAkRFLrpjk9zjh3nAccT2m8WYQc9nR7NqytKyXUqmFeu9CBL9yl,"(45.075775146484375, 342.8258056640625, 134.09384155273438, 352.6484680175781)","( ) prestadoras (EPS), con una po Metropolitana Noticias, Que pa Las Vegas Mollendo, Informat"
2,https://www.facebook.com/permalink.php?story_fbid=pfbid02oU4rwtUF5AVcMPRMZXT9nXpLVi6qUSpddH2FtUvKq4aLF14LXxc1MJBZ1vM6RJsEl&id=61573830030264,"(139.00518798828125, 342.8258056640625, 201.6248016357422, 352.6484680175781)","g PS), con una población estudian oticias, Que pasa news, EAG N endo, Informate Peruano, Arequ"
2,https://www.facebook.com/permalink.php?story_fbid=pfbid0tscNSyDMrKwBCC1WQyBaQz5WNnuxHvq5gijneun7Ck9tu6cSuSZoPvKZFu7oSRfgl&id=100083430338466,"(206.5361328125, 342.8258056640625, 260.5608825683594, 352.6484680175781)","g p ación estudiantil de 2,461,30 a news, EAG Noticias, Los Pr Peruano, Arequipa Noticias.pe"
2,https://www.facebook.com/Losprotagonistasdelanoticia/posts/pfbid02WAeMjmxyDHwKgqh3nBW7nkRcqSWFPNAAHq5CB6QSTyjPWK7Ea818NexG3fV6wSt3l,"(265.47222900390625, 342.8258056640625, 358.1737976074219, 352.6484680175781)","p g p til de 2,461,305 alumnos. (Diario Revel oticias, Los Protagonistas AQP, Polém ipa Noticias.pe, Habla Arequipa Noticia"
2,https://www.facebook.com/polemicaynoticiasaqpoficial/posts/pfbid0ZiBLDBdszjC4mZEJHnbBSXmzDWqnTNQz2ApRuLAVh9VDM417cAMq9r5urjscMaGrl,"(363.6990661621094, 342.8258056640625, 441.6666259765625, 352.6484680175781)","p (Diario Revelación, San Martin, Ar s AQP, Polémica y Noticias, Polém equipa Noticias, Diario Viral, Diario"
2,https://www.facebook.com/polemicaynoticiasaqpoficial/posts/pfbid0ZiBLDBdszjC4mZEJHnbBSXmzDWqnTNQz2ApRuLAVh9VDM417cAMq9r5urjscMaGrl,"(447.19189453125, 342.8258056640625, 525.7733764648438, 352.6484680175781)","p San Martin, Arequipa oticias, Polémica y Noticias, Radio io Viral, Diario Viral, Diario Los"
2,https://www.facebook.com/RadioLasVegasPortaldeMollendo/posts/pfbid0uht5eYokC9Zvu2VFQU5FfrSb75Nhnm94bWpSsu9mFqsJg56TPJix32MxaBpgPrxTl,"(530.6846923828125, 342.8258056640625, 554.0135498046875, 352.6484680175781)","p oticias, Radio Diario Los"
2,https://www.facebook.com/RadioLasVegasPortaldeMollendo/posts/pfbid0uht5eYokC9Zvu2VFQU5FfrSb75Nhnm94bWpSsu9mFqsJg56TPJix32MxaBpgPrxTl,"(45.075775146484375, 352.6484680175781, 126.11290740966797, 362.47125244140625)","p ( ) Metropolitana Noticias, Que Las Vegas Mollendo, Inform Andes, Correo, Yaravi FM, R"
